"","Species","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Class","Order","Family","Genus","Body_length_mm","Body_mass_g","Maturity_d","Max_longevity_d","Litter_clutch_size","Adult_svl_cm","Longevity_d","Generation_length_d"
"46","Allactaga sibirica","Carnivore","Nocturnal","2","FALSE","0","0","1","1","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Dipodidae","Allactaga",NA,107.5,NA,1643.0625,3.44,NA,1642.10312487825,625.1262
"47","Allactaga williamsi","Herbivore","Nocturnal","1","FALSE","0","0","0","1","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Dipodidae","Allactaga",NA,116.74,NA,1534.05,5,NA,1534.05,625.1262
"48","Alle alle","Carnivore","Other","21","FALSE","0","0","0","0","0","0","0","0","1","1","0","0","0","Aves","Charadriiformes","Alcidae","Alle",NA,171,1552.3125,9131.25,1,NA,5844,5478.75
"49","Allocricetulus eversmanni","Omnivore","Nocturnal","5","TRUE","0","0","1","1","0","0","0","0","0","0","1","0","0","Mammalia","Rodentia","Cricetidae","Allocricetulus",NA,115.559,NA,970.95624987825,4.99,25,970.95624987825,766.22453
"50","Alsophylax pipiens","Carnivore","Nocturnal","5","FALSE","0","0","1","1","0","0","0","1","0","0","0","0","0","Reptilia","Squamata","Gekkonidae","Alsophylax",NA,1.25860000992948,365.28,1278.375,1.5,3.391,NA,NA
"51","Alytes cisternasii","Carnivore","Nocturnal","7","TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Alytidae","Alytes",41.5,6.1,730.5,2191.5,150,NA,NA,NA
"52","Alytes dickhilleni","Carnivore","Nocturnal","6","TRUE","1","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Alytidae","Alytes",55,NA,730.5,NA,40,NA,NA,NA
"53","Alytes muletensis","Carnivore","Nocturnal","4","TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Alytidae","Alytes",36.5,2.31,1095.75,NA,13.5,NA,NA,NA
"54","Alytes obstetricans","Carnivore","Other","11","TRUE","1","0","1","0","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Alytidae","Alytes",44,13.4,730.5,2556.75,131,NA,NA,NA
"55","Ammomanes deserti","Omnivore","Other","3","FALSE","0","0","1","0","0","1","0","1","0","0","0","0","0","Aves","Passeriformes","Alaudidae","Ammomanes",NA,24.6,NA,NA,3.595,NA,NA,1387.95
"56","Ammoperdix griseogularis","Herbivore","Other","3","FALSE","0","0","1","0","0","1","0","1","0","0","0","0","0","Aves","Galliformes","Phasianidae","Ammoperdix",NA,201.86,NA,NA,10,24,NA,1423.033223838
"57","Anas acuta","Herbivore","Other","10","FALSE","0","0","0","0","1","0","0","0","1","1","0","0","0","Aves","Anseriformes","Anatidae","Anas",NA,944.62,240,10014.05925,7.7,57.5,9843.4875,2496.71030179125
"58","Anas clypeata","Carnivore","Other","14","TRUE","0","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Anseriformes","Anatidae","Anas",NA,612.78,240,8159.685,10,49.5,7451.1,2358.358
"59","Anas crecca","Herbivore","Other","20","FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Aves","Anseriformes","Anatidae","Anas",NA,342.145,225.867,9898.275,9.5,38.5,7578.9375,2310.75593919675
"60","Anas penelope","Herbivore","Other","12","FALSE","0","0","0","1","1","0","0","0","1","1","0","0","0","Aves","Anseriformes","Anatidae","Anas",NA,770.03,365,12844.63,9,48,6665.812,2331.865
"61","Anas platyrhynchos",NA,"Other","24","TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Aves","Anseriformes","Anatidae","Anas",NA,1122,365,10628.775,10.515,57.5,9951.54062560875,2414.59153364775
"62","Anas querquedula",NA,"Other","10","TRUE","0","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Anseriformes","Anatidae","Anas",NA,326,364.617,7213.688,8.5,39,5326.562,2380.968
"63","Anas strepera","Herbivore","Other","4","FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Aves","Anseriformes","Anatidae","Anas",NA,915.58,240,10227,10,52,7633.725,2595.533
"64","Anatololacerta anatolica","Carnivore","Other","2","FALSE","1","0","0","0","0","1","0","0","0","0","0","0","0","Reptilia","Squamata","Lacertidae","Anatololacerta",NA,7.48058068327905,1095.84,3652.5,5.25,NA,NA,NA
"65","Anatololacerta danfordi","Carnivore","Other","5","TRUE","1","0","1","0","0","1","0","0","0","0","1","0","0","Reptilia","Squamata","Lacertidae","Anatololacerta",NA,8.05530529827905,NA,4748.25,5.50023626433817,6.4,NA,NA
"66","Anguis cephallonica","Carnivore","Other","8","TRUE","1","0","1","1","0","0","0","0","0","0","1","0","0","Reptilia","Squamata","Anguidae","Anguis",NA,75.8577575029184,1324.0775,19723.5,9.48,17.9555,19723.5,NA
"67","Anguis fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reptilia","Squamata","Anguidae","Anguis",NA,NA,NA,NA,NA,NA,NA,NA
"68","Anser albifrons","Herbivore","Other","7","TRUE","0","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Anseriformes","Anatidae","Anser",NA,2387.5,1095,17166.75,5.5,75.5,9222.5625,4109.9671694625
"69","Anser anser","Herbivore","Other","6","TRUE","0","0","0","1","1","0","0","0","0","0","1","0","0","Aves","Anseriformes","Anatidae","Anser",NA,3305.455,1095,11322.75,5,82.5,9496.5,4227.60001911
"70","Anser brachyrhynchus","Herbivore","Other","6","TRUE","0","0","0","1","0","0","0","0","1","1","1","0","0","Aves","Anseriformes","Anatidae","Anser",NA,2645,1095,14944.8125012175,4.65,72.5,9344.3124987825,4164.07828125
"71","Anser erythropus","Herbivore","Other","13","TRUE","0","0","1","1","1","1","0","0","0","0","1","0","0","Aves","Anseriformes","Anatidae","Anser",NA,1761,1090.404,5387.4375,5,59.5,5387.4375,4164.07828125
"72","Anser fabalis","Herbivore","Other","5","TRUE","0","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Anseriformes","Anatidae","Anser",NA,2754.73,1093.851,9350.4,5,77.5,8400.75,4164.07828125
"73","Anthropoides virgo","Herbivore","Other","19","TRUE","0","1","1","1","1","1","0","1","0","0","1","0","0","Aves","Gruiformes","Gruidae","Anthropoides",NA,2404,730,24471.75,2,NA,9861.75,4078.6250012175
"74","Anthus berthelotii","Carnivore","Other","4","TRUE","0","0","0","1","0","1","0","0","0","0","1","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,16.2,NA,NA,3.55,NA,NA,1353.0029362485
"75","Anthus campestris","Carnivore","Other","11","TRUE","0","1","1","1","0","0","0","0","0","1","1","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,23,NA,NA,4.2,NA,NA,1353.0029362485
"76","Anthus cervinus","Carnivore","Other","10","TRUE","0","0","1","1","1","0","0","0","0","1","1","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,20.9,NA,1643.625,5.36,NA,1643.625,1353.0029362485
"77","Anthus hodgsoni","Carnivore","Other","9","TRUE","1","0","1","1","0","1","0","0","0","0","1","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,22.325,NA,NA,4.5,NA,NA,1353.0029362485
"78","Anthus petrosus","Carnivore","Other","7","FALSE","0","0","0","0","1","1","0","0","0","1","0","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,23.5625,365,3987.3125012175,4.6,NA,3619.01874987825,1353.0029362485
"79","Anthus pratensis","Carnivore","Other","13","FALSE","0","0","0","1","1","0","0","0","0","1","1","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,18.4,365,3195.9375,4.775,NA,2821.55625,1400.402067936
"80","Anthus spinoletta","Carnivore","Other","8","TRUE","0","0","0","1","1","1","0","0","0","1","1","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,23.9,363.468,3256.81250012175,4.6,NA,3220.40925,1353.0029362485
"81","Anthus trivialis","Carnivore","Other","15","TRUE","1","1","1","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,23.4,364.617,3195.9375,4.64,NA,2989.023375,1315.6556898315
"82","Apathya cappadocica","Carnivore","Other","2","FALSE","1","0","0","0","0","1","0","0","0","0","0","0","0","Reptilia","Squamata","Lacertidae","Apathya",NA,10.162486928707,730.56,2556.75,5.00017267488489,NA,NA,NA
"83","Apodemus agrarius","Omnivore","Other","7","TRUE","1","0","0","1","1","0","0","0","0","0","1","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,21.2,76.0525,1461,5.66,NA,1461,504.40745
"84","Apodemus alpicola","Omnivore","Nocturnal","1","FALSE","1","0","0","0","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,28.06,51.70703,1643.625,5.5,12.656,1550.79062487825,554.1929125
"85","Apodemus epimelas","Omnivore","Nocturnal","1","FALSE","0","0","0","0","0","1","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,42.3,NA,NA,3.36,15,NA,554.1929125
"86","Apodemus flavicollis","Herbivore","Nocturnal","5","FALSE","1","0","1","0","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,29.375,47.488515,1551.25,5.22,12.656,1550.79062487825,513.1567
"87","Apodemus hyrcanicus","Omnivore","Nocturnal","1","FALSE","1","0","0","0","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,44.80694402,NA,NA,NA,NA,NA,554.1929125
"88","Apodemus mystacinus","Omnivore","Nocturnal","3","TRUE","1","0","0","0","0","1","0","0","0","0","1","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,43.84,NA,NA,3.62,15,NA,554.1929125
"89","Apodemus ponticus","Omnivore","Nocturnal","4","TRUE","1","0","1","1","0","0","0","0","0","0","1","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,26.7,51.70703,1643.625,5.5,12.656,1550.79062487825,554.1929125
"90","Apodemus sylvaticus","Omnivore","Nocturnal","10","TRUE","1","0","1","1","0","0","0","0","0","1","1","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,23.4,62.965,1952.75,5.17,11.8755,1607.1,626.6475
"91","Apodemus uralensis","Omnivore","Nocturnal","4","TRUE","1","0","0","1","0","0","0","0","0","0","1","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,18.26,68,2310.20625,5.46,11.8755,1607.1,554.1929125
"92","Apodemus witherbyi","Omnivore","Nocturnal","3","FALSE","0","0","1","0","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Apodemus",NA,20.645,NA,NA,NA,NA,NA,554.1929125
"93","Apus affinis","Carnivore","Other","12","FALSE","1","1","1","1","0","0","0","0","0","0","0","0","0","Aves","Apodiformes","Apodidae","Apus",NA,23.6000003815,NA,NA,2.4,12,NA,4565.625
"94","Apus apus","Carnivore","Other","30","TRUE","1","1","1","1","1","1","0","1","0","0","1","0","0","Aves","Apodiformes","Apodidae","Apus",NA,39,729.234,7700.6874987825,2.3,16.5,7670.25,4087.5772056675
"95","Apus caffer","Carnivore","Other","6","FALSE","1","1","1","0","0","0","0","0","0","0","0","0","0","Aves","Apodiformes","Apodidae","Apus",NA,22.075,726.936,3652.5,2,14,3652.5,4565.625
"96","Apus pallidus","Carnivore","Other","14","TRUE","0","1","0","1","0","1","0","0","0","1","1","0","0","Aves","Apodiformes","Apodidae","Apus",NA,41.95,NA,NA,2.45,16,NA,4565.625
"97","Apus unicolor","Carnivore","Other","12","FALSE","1","1","0","1","1","0","0","0","0","1","0","0","0","Aves","Apodiformes","Apodidae","Apus",NA,22.925,NA,NA,2,14.5,NA,4565.625
"98","Aquila adalberti","Carnivore","Other","6","FALSE","1","0","1","1","1","0","0","0","0","0","0","0","0","Aves","Accipitriformes","Accipitridae","Aquila",NA,3000,1767.453,20454,2.5,76,16253.625,6046.91666829
"99","Aquila chrysaetos","Carnivore","Other","17","FALSE","1","0","1","1","0","1","0","1","0","0","0","0","0","Aves","Accipitriformes","Accipitridae","Aquila",NA,4263.5,1460,17532,2,78,11688,6320.85416829
"100","Aquila clanga",NA,"Other","14","TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Aquila",NA,2154.29,1453.872,NA,2,65,NA,6046.917
"101","Aquila fasciata","Carnivore","Other","7","FALSE","1","0","1","1","1","1","0","0","0","0","0","0","0","Aves","Accipitriformes","Accipitridae","Aquila",NA,1968.245,1090.404,7305,2,61,7305,6574.5
"102","Aquila heliaca","Carnivore","Other","12","TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Aquila",NA,3215,1635.606,20454,2.5,76,20454,6046.91666829
"103","Aquila nipalensis","Carnivore","Other","5","FALSE","0","1","0","1","0","1","0","0","0","0","0","0","0","Aves","Accipitriformes","Accipitridae","Aquila",NA,2714.33,1453.872,15523.125,2,68.25,14847.4125,6046.91666829
"104","Aquila pomarina",NA,"Other","3","TRUE","1","1","0","0","0","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Aquila",NA,1370,1272.138,9533.025,2,61,8839.05,6046.917
"105","Archaeolacerta bedriagae","Omnivore","Other","5","FALSE","1","0","1","0","1","1","0","0","0","0","0","0","0","Reptilia","Squamata","Lacertidae","Archaeolacerta",NA,13.6772882559585,NA,1095.75,4.49987033872151,7.222,1059.225,NA
"106","Ardea alba",NA,"Other","6","TRUE","0","0","0","1","1","0","0","0","0","1","1","0","0","Aves","Pelecaniformes","Ardeidae","Ardea",NA,872.415,683.8005,8340.1185,3.7,93.5,8333.17875,3334.94322112575
"107","Ardea cinerea","Carnivore","Other","44","TRUE","1","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Pelecaniformes","Ardeidae","Ardea",NA,1494.75,730,13696.875,4.305,94,11048.7516237825,3743.8125
"108","Ardea purpurea",NA,"Other","7","FALSE","1","0","1","0","1","0","0","0","0","1","0","0","0","Aves","Pelecaniformes","Ardeidae","Ardea",NA,1064.48,638.367,9283.55925,4.2,79,9280.3937487825,3837.466347465
"109","Ardeola ralloides","Carnivore","Other","8","FALSE","0","0","0","0","1","0","0","0","1","0","0","0","0","Aves","Pelecaniformes","Ardeidae","Ardeola",NA,290,NA,2130.62499987825,4,46,2130.62499987825,2442.609375
"110","Arenaria interpres","Carnivore","Other","19","FALSE","0","0","0","1","1","0","0","0","1","1","0","0","0","Aves","Charadriiformes","Scolopacidae","Arenaria",NA,135.98,729.234,7822.4375012175,4,NA,6203.1624987825,2673.66673501875
"111","Arvicola amphibius","Omnivore","Nocturnal","9","TRUE","1","0","0","1","1","0","0","0","0","0","1","0","0","Mammalia","Rodentia","Cricetidae","Arvicola",NA,114.375,48.215,1826.25,4.92,20.6785,1552.3125,656.0875
"112","Arvicola sapidus","Omnivore","Nocturnal","8","FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Cricetidae","Arvicola",NA,219.99,48.10921,1278.48,4.125,22,1278.375,656.0875
"113","Arvicola scherman","Herbivore","Nocturnal","1","FALSE","0","0","0","1","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Cricetidae","Arvicola",NA,97.5,48.10921,1826.25,5.09,22,1278.375,656.0875
"114","Asaccus elisae","Carnivore","Nocturnal","4","TRUE","0","0","1","0","0","1","0","0","0","0","1","0","0","Reptilia","Squamata","Phyllodactylidae","Asaccus",NA,7.1972448900185,NA,NA,1.5,7,NA,NA
"115","Asio flammeus","Carnivore","Nocturnal","9","TRUE","0","0","0","1","1","0","0","0","0","0","1","0","0","Aves","Strigiformes","Strigidae","Asio",NA,343.75,364.617,7962.45,6,38,4711.725,2628.5775907965
"116","Asio otus","Carnivore","Nocturnal","48","TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Strigiformes","Strigidae","Asio",NA,296.57,364.617,10153.95,4.5,37.5,10144.81875,2628.5775907965
"117","Atelerix algirus","Omnivore","Nocturnal","6","TRUE","0","0","1","1","0","0","0","1","0","0","1","0","0","Mammalia","Erinaceomorpha","Erinaceidae","Atelerix",NA,903.98,NA,2556.75,3.125,23.238,2556.75,1335.15805
"118","Athene noctua","Carnivore","Nocturnal","9","TRUE","0","1","1","1","0","0","0","0","0","0","1","0","0","Aves","Strigiformes","Strigidae","Athene",NA,169,364.617,5691.8124987825,4,21,4048.1874987825,1617.53571444225
"119","Aythya ferina","Herbivore","Other","23","TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Anseriformes","Anatidae","Aythya",NA,853.5,365,8473.8,8.8,50,8294.2187487825,2790.62031024825
